Date,Description,Amount
2024-10-01,Salary Credit - Company Pvt Ltd,300000
2024-10-02,SIP Investment - Nifty 50,-30000
2024-10-02,SIP Investment - Flexi Cap,-20000
2024-10-02,SIP Investment - ELSS,-15000
2024-10-03,Home Loan EMI - HDFC,-45000
2024-10-04,Credit Card Payment - Axis Bank,-60000
2024-10-05,Rent Transfer,-35000
2024-10-06,Electricity Bill - Tata Power,-4200
2024-10-06,Internet Bill - Airtel,-1800
2024-10-07,Grocery Shopping - Nature's Basket,-12000
2024-10-08,Restaurant Dinner - Smoke House Deli,-4500
2024-10-09,Uber Ride - Office,-1200
2024-10-10,Flight Booking - MakeMyTrip,-18000
2024-10-11,Health Insurance Premium - HDFC Ergo,-4200
2024-10-12,Netflix Subscription,-799
2024-10-13,Amazon Shopping,-9500
2024-10-14,Personal Investment - US Stocks,-25000
2024-10-15,Mutual Fund Lumpsum Investment,-40000
2024-10-16,Gym Membership - Cult Fit,-2500
2024-10-18,Weekend Hotel Booking - Taj,-22000
2024-10-20,Dividend Credit - Mutual Fund,3200
2024-10-22,Restaurant Lunch - Corporate Canteen,-1800
2024-10-24,Uber Ride - Airport,-1800
2024-10-26,Shopping - Apple Store,-65000
2024-10-27,Bonus Credit - Performance Bonus,50000
2024-10-28,Charity Donation - GiveIndia,-5000
2024-10-29,Gold Investment - Digital Gold,-15000
2024-10-30,Savings Account Interest,1800
