Date,Description,Amount
2025-11-01,NEFT SALARY CREDIT ACME TECH PVT LTD,85000
2025-11-01,UPI-RENT-NOVEMBER-RAHUL SHARMA,-22000
2025-11-02,UPI-ZOMATO-ORDER-458923,-640
2025-11-02,UPI-SWIGGY-INSTAMART-839201,-890
2025-11-03,AMAZON MKTPLACE PMTS,-3499
2025-11-03,NETFLIX.COM SUBSCRIPTION,-649
2025-11-04,UPI-UBER-TRIP-DELHI,-320
2025-11-04,UPI-OLA-CABS-839201,-280
2025-11-05,ELECTRICITY BILL TATA POWER,-1860
2025-11-05,MOBILE RECHARGE JIO POSTPAID,-799
2025-11-06,UPI-STARBUCKS-CP-DELHI,-480
2025-11-06,UPI-HALDIRAMS-FOOD-DELHI,-720
2025-11-07,AMAZON PRIME MEMBERSHIP,-1499
2025-11-08,UPI-BLINKIT-GROCERY-DELHI,-1120
2025-11-09,UPI-SPOTIFY PREMIUM,-129
2025-11-10,UPI-BOOKMYSHOW-MOVIE,-950
2025-11-11,UPI-IRCTC TICKET BOOKING,-1840
2025-11-12,UPI-FUEL-INDIAN OIL,-3200
2025-11-13,UPI-DUNZO-DELIVERY,-260
2025-11-14,FLIPKART INTERNET PRIVATE LTD,-5899
2025-11-15,UPI-RESTAURANT-BARBECUE NATION,-4200
2025-11-16,UPI-GYM MEMBERSHIP-ANYTIME FITNESS,-2500
2025-11-18,UPI-MEDPLUS PHARMACY,-890
2025-11-19,UPI-DECATHLON SPORTS,-3499
2025-11-20,UPI-SCHOOL FEES NIECE,-6000
2025-11-21,UPI-CREDIT CARD PAYMENT HDFC,-15000
2025-11-22,UPI-ZOMATO-ORDER-938201,-780
2025-11-23,UPI-SWIGGY-DINNER,-950
2025-11-24,UPI-PETROL-BPCL,-2800
2025-11-25,UPI-HOTEL OYO STAY,-5400
2025-11-26,UPI-GROCERY-LOCAL STORE,-2100
2025-11-27,UPI-UBER-AIRPORT,-1450
2025-11-28,UPI-SHOPPING-NIKE STORE,-7999
2025-11-29,UPI-RECHARGE DTH TATA SKY,-1200
2025-11-30,UPI-RES
